,P,Density,T,Name
240,101.325,1449.7,298.2,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide
241,101.325,1436.9,298.2,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
242,101.325,1421.2,298.2,"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide"
243,101.325,1431.7,298.2,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
244,101.325,1411.4,298.2,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide
245,101.0,1322.4,298.15,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
246,101.0,1278.8,298.15,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
247,101.0,1373.2,298.15,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
248,101.0,1391.7,298.15,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide
249,101.0,1571.4,298.15,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide"
250,101.0,1519.3,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
251,101.0,1436.9,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
253,101.325,1199.7,298.15,"1-butyl-3-methylimidazolium 4,5-dicyano-2-(trifluoromethyl)imidazolide"
254,101.325,1199.7,298.15,"1-butyl-3-methylimidazolium 4,5-dicyano-2-(trifluoromethyl)imidazolide"
255,101.325,1280.0,298.1,1-ethyl-3-methylimidazolium tetrafluoroborate
256,101.325,1210.0,298.1,1-butyl-3-methylimidazolium tetrafluoroborate
257,101.325,1240.0,298.1,1-propyl-3-methylimidazolium tetrafluoroborate
258,101.325,1207.5,298.15,1-butyl-3-methylimidazolium tetrafluoroborate
259,101.325,1225.5,298.15,3-hexyl-1-methyl-1H-imidazolium bromide
260,101.325,1146.5,298.15,1-hexyl-3-methylimidazolium tetrafluoroborate
261,101.325,1116.4,298.15,1-methyl-3-octylimidazolium tetrafluoroborate
262,101.325,1170.6,298.15,1-methyl-3-octylimidazolium bromide
267,101.325,,298.1,1-[2-(ethylsulfonyl)ethyl]-3-methyl-1H-imidazol-3-ium trifluoromethanesulfonate
268,101.325,,298.1,1-butyl-3-methylimidazolium bis(perfluoroethylsulfonyl)imide
269,101.325,1118.0,298.1,1-ethyl-3-methylimidazolium thiocyanate
270,101.325,1059.0,298.1,1-butyl-3-methylimidazolium dicyanamide
271,101.325,1013.0,298.1,1-butyl-1-methylpyrrolidinium dicyanamide
272,101.325,1520.0,298.1,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
273,101.325,1436.0,298.1,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
274,101.325,1292.0,298.1,1-butyl-3-methylimidazolium trifluoromethanesulfonate
275,101.325,1395.0,298.1,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
276,101.325,1357.0,298.1,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
277,101.325,1237.0,298.1,1-ethyl-3-methylimidazolium ethyl sulfate
278,101.325,1321.0,298.1,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
279,101.325,1011.0,298.1,3-decyl-1-methyl-1H-imidazolium thiocyanate
280,101.325,966.0,298.1,methyltrioctylammonium trifluoroacetate
281,101.325,1072.0,298.1,1-butyl-3-methylimidazolium octyl sulfate
282,101.325,1068.0,298.1,1-butyl-3-methylimidazolium trifluoroacetate
283,101.325,1065.0,298.1,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide
284,101.325,1279.0,298.1,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
285,101.325,1580.0,298.1,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate
286,101.325,1208.0,298.1,1-butyl-3-methylimidazolium methylsulfate
288,101.325,1372.0,298.15,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
289,101.325,1436.0,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
290,101.0,1191.2,298.0,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
291,101.0,1200.3,298.0,1-butyl-3-methylimidazolium tetrafluoroborate
292,101.0,1191.2,298.15,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
293,101.0,1200.3,298.15,1-butyl-3-methylimidazolium tetrafluoroborate
294,101.325,1208.1,298.15,"N-ethyl-N,N-dimethyl-N-butylammonium ethyl sulfate"
295,101.325,1111.6,298.15,"N-ethyl-2-hydroxy-N,N-dimethylethanaminium 1-butanesulfonate"
296,101.325,1125.7,298.15,"N-ethyl-N-(2-hydroxyethyl)-N,N-dimethylammonium ethyl sulfate"
301,101.325,1036.4,298.15,1-hexylpyridinium dicyanamide
302,101.325,1053.1,298.15,1-pentylpyridinium dicyanamide
303,101.325,1068.8,298.15,1-butylpyridinium dicyanamide
304,101.325,1090.1,298.15,1-propylpyridinium dicyanamide
305,101.325,1118.5,298.15,1-ethylpyridinium dicyanamide
306,101.325,1006.8,298.15,1-butyl-1-methylpyrrolidinium tricyanomethanide
307,101.325,1036.6,298.15,1-butyl-4-methylpyridinium tricyanomethanide
308,101.325,1046.7,298.15,1-butyl-3-methylimidazolium tricyanomethane
310,101.325,1388.1,298.15,1-ethyl-3-methylimidazolium bromide
311,101.325,1302.3,298.15,1-butyl-3-methylimidazolium bromide
319,101.325,1010.4,298.2,1-methyl-3-octylimidazolium chloride
320,101.325,1293.5,298.15,1-hexyl-3-methylimidazolium hexafluorophosphate
321,101.325,1148.1,298.15,1-hexyl-3-methylimidazolium tetrafluoroborate
322,101.325,1148.4,298.15,1-hexyl-3-methylimidazolium tetrafluoroborate
323,101.325,1278.1,298.15,1-hexyl-3-methylimidazolium hexafluorophosphate
324,101.325,1010.4,298.15,1-methyl-3-octylimidazolium chloride
325,101.0,886.4,298.15,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
327,101.325,1065.5,298.15,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide
328,101.325,1052.7,298.15,1-butyl-3-methylimidazolium acetate
329,101.325,1099.02,298.15,1-ethyl-3-methylimidazolium acetate
330,101.325,1278.4,298.15,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
331,101.325,1372.09,298.15,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
332,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
333,101.325,1061.7,298.15,2-octylisoquinolinium thiocyanate
334,101.325,1081.3,298.15,2-hexylisoquinolinium thiocyanate
335,101.325,1453.7,298.15,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide
336,101.325,1068.87,298.15,1-butyl-3-methylimidazolium thiocyanate
337,101.325,1115.79,298.15,1-ethyl-3-methylimidazolium thiocyanate
338,101.325,1205.0,298.1,"1,1-dimethylhydrazinium azide"
339,101.325,1201.0,298.15,1-butyl-3-methylimidazolium tetrafluoroborate
340,101.325,1366.4,298.1,1-butyl-3-methylimidazolium hexafluorophosphate
341,101.0,1192.78,298.15,1-butyl-3-methylimidazolium tetrafluoroborate
342,101.0,1236.33,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
343,101.0,1145.22,298.15,1-hexyl-3-methylimidazolium tetrafluoroborate
344,101.325,1142.89,298.15,triethylammonium hydrogen sulfate
345,101.325,1015.86,298.15,triethylammonium acetate
346,101.325,1021.41,298.15,diethylammonium acetate
347,101.325,1207.8,298.15,1-butyl-3-methylimidazolium methylsulfate
348,101.325,1201.4,298.15,1-butyl-3-methylimidazolium tetrafluoroborate
349,101.325,886.43,298.15,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
350,101.325,891.82,298.15,trihexyl(tetradecyl)phosphonium chloride
351,101.325,1203.8,298.15,1-butyl-3-methylimidazolium tetrafluoroborate
352,101.325,1236.5,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
353,101.325,886.43,298.15,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
354,101.325,891.82,298.15,trihexyl(tetradecyl)phosphonium chloride
355,101.325,1080.0,298.1,1-butyl-3-methylimidazolium chloride
356,101.325,1290.0,298.1,1-hexyl-3-methylimidazolium hexafluorophosphate
357,101.325,1440.0,298.1,1-butyl-3-methylimidazolium iodide
358,101.325,1000.0,298.1,1-methyl-3-octylimidazolium chloride
359,101.325,1220.0,298.1,1-octyl-3-methylimidazolium hexafluorophosphate
360,101.325,1430.0,298.1,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
361,101.325,1030.0,298.1,1-hexyl-3-methylimidazolium chloride
362,101.325,1360.0,298.1,1-butyl-3-methylimidazolium hexafluorophosphate
363,101.325,1120.0,298.1,1-butyl-3-methylimidazolium tetrafluoroborate
366,101.0,966.82,298.15,propylammonium acetate
367,101.0,1017.71,298.15,ethylammonium acetate
368,101.325,1380.0,298.2,1-butyl-3-methylimidazolium hexafluorophosphate
369,101.325,1200.0,298.2,1-butyl-3-methylimidazolium tetrafluoroborate
370,101.325,1210.0,298.2,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate
371,101.325,1170.0,298.2,1-butyl-3-methylimidazolium 2-(2-methoxyethoxy)ethyl sulfate
373,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
374,101.325,1480.2,298.15,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
375,101.325,1184.24,298.15,1-butyl-4-methylpyridinium tetrafluoroborate
376,101.325,1184.2,298.15,1-butyl-4-methylpyridinium tetrafluoroborate
378,101.325,1363.3,298.15,1-butyl-3-methylimidazolium hexafluorophosphate
379,101.325,1195.2,298.15,1-butyl-3-methylimidazolium tetrafluoroborate
380,101.0,1097.0,298.15,1-butyl-3-methylimidazolium acetate
381,101.0,1119.0,298.15,1-propyl-3-methylimidazolium acetate
382,101.0,1077.0,298.15,1-methyl-3-pentylimidazolium acetate
383,101.0,1061.0,298.15,3-hexyl-1-methylimidazolium acetate
384,101.0,1144.0,298.15,1-ethyl-3-methylimidazolium acetate
404,101.325,1447.94,298.15,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide
405,101.325,1488.5,298.15,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide
406,101.325,1237.23,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
407,101.325,1237.23,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
408,101.325,1237.23,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
409,101.325,1237.23,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
410,101.325,1219.61,298.15,1-ethyl-3-methylpyridinium ethylsulfate
411,101.325,1219.61,298.15,1-ethyl-3-methylpyridinium ethylsulfate
412,101.325,1237.23,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
