,cpt,P,T,Name
5699,491.0,101.325,298.1,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide
5740,376.0,101.325,298.1,1-butyl-3-methylimidazolium dicyanamide
5810,241.8,101.325,298.15,1-butyl-3-methylimidazolium bromide
5998,635.0,101.325,298.15,1-butyl-3-methylimidazolium octyl sulfate
6098,406.9,101.325,298.25,1-butyl-3-methylimidazolium hexafluorophosphate
6150,559.2,101.325,298.0,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide
6151,559.5,101.325,298.91,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide
6685,424.0,101.325,298.15,1-hexyl-3-methylimidazolium hexafluorophosphate
6736,730.0,101.325,298.15,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
6989,293.0,101.325,298.15,1-ethylpyridinium hexafluorophosphate
7045,328.7,101.325,298.15,1-propylpyridinium hexafluorophosphate
7285,629.3,101.325,298.38,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
7338,755.1,101.325,298.69,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
7484,588.0,101.325,298.12,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
7559,281.0,101.325,298.44,1-methyl-3-propylimidazolium bromide
8013,376.2,101.325,298.85,1-butyl-3-methylimidazolium dicyanamide
8172,367.0,101.325,298.3,1-butyl-3-methylimidazolium tetrafluoroborate
9537,498.2,101.325,298.65,1-methyl-3-octylimidazolium tetrafluoroborate
10419,629.1,101.325,298.14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
10420,629.6,101.325,298.37,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
10421,629.6,101.325,298.37,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
12766,383.0,101.325,298.74,1-ethyl-3-methylimidazolium ethyl sulfate
13204,635.0,101.325,298.0,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
13205,636.0,101.325,298.0,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
13206,639.0,101.325,298.0,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
13207,640.0,101.325,298.0,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
13208,641.0,101.325,298.0,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
13536,378.0,101.325,298.11,1-ethyl-3-methylimidazolium ethyl sulfate
13792,243.4,101.325,298.54,1-butyl-3-methylimidazolium bromide
13966,1082.0,101.325,298.11,3-hexadecyl-1-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide
13967,1098.0,101.325,298.6,3-hexadecyl-1-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide
13968,1103.0,101.325,298.63,3-hexadecyl-1-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide
14158,456.0,101.325,298.12,1-hexylquinolinium bis(trifluoromethylsulfonyl)amide
14159,458.0,101.325,298.72,1-hexylquinolinium bis(trifluoromethylsulfonyl)amide
15421,300.9,101.325,298.39,1-methyl-3-propylimidazolium bromide
